"filename", "language", "JavaScript JSX", "XML", "JavaScript", "PostCSS", "JSON", "Less", "Properties", "Markdown", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ProfileInfoHeader/index.jsx", "JavaScript JSX", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 169
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Progress/index.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ProtectedSuspense/index.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RemovedTransportField/index.jsx", "JavaScript JSX", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 135
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ReportFields/index.jsx", "JavaScript JSX", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 5, 371
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RequestDocumentHeader/index.jsx", "JavaScript JSX", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 305
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RoomFindAvailable/SearchRoomResultDetail.jsx", "JavaScript JSX", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 310
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RoomFindAvailable/index.jsx", "JavaScript JSX", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 155
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RoomSearch/index.jsx", "JavaScript JSX", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 175
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/RoomSelection/index.jsx", "JavaScript JSX", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 13, 163
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/SearchPeopleForm/index.jsx", "JavaScript JSX", 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 304
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/SearchSelection/index.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/SeatTooltip/index.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 53
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Select/index.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 73
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/SelectTRFieldForRemoved/index.jsx", "JavaScript JSX", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 131
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/ShiftCalendar/index.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 118
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/SiteContactField/index.jsx", "JavaScript JSX", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Skeleton/index.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Suspense/index.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Table/index.jsx", "JavaScript JSX", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 264
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Timer/index.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/Tooltip/index.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/TransportSearch/index.jsx", "JavaScript JSX", 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 389
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/TreeTable/index.jsx", "JavaScript JSX", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 130
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/VerticalCalendar/index.jsx", "JavaScript JSX", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 247
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/components/index.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/constants/EmployeeFields.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/constants/colors.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/contexts/actions.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/contexts/index.jsx", "JavaScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 85
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/contexts/reducer.js", "JavaScript", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 2, 147
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/hooks/useShortcut.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 3, 21
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/MainLayout.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/fetchAPIs.js", "JavaScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 2, 154
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/header/MultiViewers.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 41
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/header/index.jsx", "JavaScript JSX", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 24, 263
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/index.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 0, 13
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/index.jsx", "JavaScript JSX", 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 486
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/sidebar/VersionDetail.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/layouts/sidebar/index.jsx", "JavaScript JSX", 722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 745
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/modules/guest/CreateDocument/De-Mobilisation/index.jsx", "JavaScript JSX", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 269
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/modules/guest/CreateDocument/EmployeeHeader.jsx", "JavaScript JSX", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 458
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/modules/guest/CreateDocument/NonSiteTravel/Accommodation.jsx", "JavaScript JSX", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 258
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/modules/guest/CreateDocument/NonSiteTravel/Attachments.jsx", "JavaScript JSX", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 197
"/Users/munkh-erdeneotgonbayar/Projects/OT/ot-tas/src/modules/guest/CreateDocument/NonSiteTravel/Flight.jsx", "JavaScript JSX", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 258
